Timestamp,GSR
1137443.05419922,34813
1137450.86669922,34815
1137458.67919922,34813
1137466.49169922,34815
1137474.30419922,34813
1137482.11669922,34816
1137489.92919922,34814
1137497.74169922,34815
1137505.55419922,34813
1137513.36669922,34815
1137521.17919922,34814
1137528.99169922,34815
1137536.80419922,34813
1137544.61669922,34814
1137552.42919922,34814
1137560.24169922,34815
1137568.05419922,34812
1137575.86669922,34814
1137583.67919922,34813
1137591.49169922,34814
1137599.30419922,34813
1137607.11669922,34814
1137614.92919922,34812
1137622.74169922,34814
1137630.55419922,34812
1137638.36669922,34812
1137646.17919922,34813
1137653.99169922,34814
1137661.80419922,34813
1137669.61669922,34814
1137677.42919922,34813
1137685.24169922,34812
1137693.05419922,34812
1137700.86669922,34814
1137708.67919922,34812
1137716.49169922,34813
1137724.30419922,34811
1137732.11669922,34812
1137739.92919922,34813
1137747.74169922,34811
1137755.55419922,34811
1137763.36669922,34814
1137771.17919922,34812
1137778.99169922,34812
1137786.80419922,34811
1137794.61669922,34812
1137802.42919922,34811
1137810.24169922,34812
1137818.05419922,34811
1137825.86669922,34812
1137833.67919922,34811
1137841.49169922,34810
1137849.30419922,34811
1137857.11669922,34812
1137864.92919922,34811
1137872.74169922,34810
1137880.55419922,34809
1137888.36669922,34812
1137896.17919922,34811
1137903.99169922,34810
1137911.80419922,34811
1137919.61669922,34811
1137927.42919922,34809
1137935.24169922,34811
1137943.05419922,34809
1137950.86669922,34811
1137958.67919922,34809
1137966.49169922,34811
1137974.30419922,34809
1137982.11669922,34811
1137989.92919922,34809
1137997.74169922,34810
1138005.55419922,34808
1138013.36669922,34811
1138021.17919922,34809
1138028.99169922,34810
1138036.80419922,34809
1138044.61669922,34810
1138052.42919922,34809
1138060.24169922,34809
1138068.05419922,34807
1138075.86669922,34809
1138083.67919922,34808
1138091.49169922,34807
1138099.30419922,34810
1138107.11669922,34809
1138114.92919922,34808
1138122.74169922,34808
1138130.55419922,34808
1138138.36669922,34809
1138146.17919922,34807
1138153.99169922,34807
1138161.80419922,34808
1138169.61669922,34809
1138177.42919922,34807
1138185.24169922,34806
1138193.05419922,34808
1138200.86669922,34808
1138208.67919922,34807
1138216.49169922,34808
1138224.30419922,34806
1138232.11669922,34808
1138239.92919922,34806
1138247.74169922,34806
1138255.55419922,34806
1138263.36669922,34808
1138271.17919922,34806
1138278.99169922,34807
1138286.80419922,34808
1138294.61669922,34807
1138302.42919922,34805
1138310.24169922,34805
1138318.05419922,34807
1138325.86669922,34807
1138333.67919922,34805
1138341.49169922,34807
1138349.30419922,34805
1138357.11669922,34807
1138364.92919922,34807
1138372.74169922,34806
1138380.55419922,34805
1138388.36669922,34807
1138396.17919922,34805
1138403.99169922,34806
1138411.80419922,34804
1138419.61669922,34806
1138427.42919922,34806
1138435.24169922,34804
1138443.05419922,34803
1138450.86669922,34806
1138458.67919922,34804
1138466.49169922,34804
1138474.30419922,34804
1138482.11669922,34806
1138489.92919922,34804
1138497.74169922,34805
1138505.55419922,34803
1138513.36669922,34806
1138521.17919922,34805
1138528.99169922,34805
1138536.80419922,34803
1138544.61669922,34805
1138552.42919922,34804
1138560.24169922,34803
1138568.05419922,34803
1138575.86669922,34805
1138583.67919922,34804
1138591.49169922,34803
1138599.30419922,34804
1138607.11669922,34804
1138614.92919922,34805
1138622.74169922,34804
1138630.55419922,34803
1138638.36669922,34804
1138646.17919922,34802
1138653.99169922,34805
1138661.80419922,34802
1138669.61669922,34803
1138677.42919922,34802
1138685.24169922,34804
1138693.05419922,34802
1138700.86669922,34804
1138708.67919922,34802
1138716.49169922,34804
1138724.30419922,34803
1138732.11669922,34803
1138739.92919922,34803
1138747.74169922,34802
1138755.55419922,34802
1138763.36669922,34803
1138771.17919922,34802
1138778.99169922,34801
1138786.80419922,34801
1138794.61669922,34803
1138802.42919922,34803
1138810.24169922,34801
1138818.05419922,34801
1138825.86669922,34803
1138833.67919922,34802
1138841.49169922,34801
1138849.30419922,34801
1138857.11669922,34802
1138864.92919922,34801
1138872.74169922,34802
1138880.55419922,34801
1138888.36669922,34802
1138896.17919922,34800
1138903.99169922,34801
1138911.80419922,34800
1138919.61669922,34803
1138927.42919922,34801
1138935.24169922,34802
1138943.05419922,34799
1138950.86669922,34802
1138958.67919922,34800
1138966.49169922,34800
1138974.30419922,34801
1138982.11669922,34802
1138989.92919922,34800
1138997.74169922,34800
1139005.55419922,34800
1139013.36669922,34802
1139021.17919922,34800
1139028.99169922,34799
1139036.80419922,34802
1139044.61669922,34801
1139052.42919922,34799
1139060.24169922,34799
1139068.05419922,34800
1139075.86669922,34801
1139083.67919922,34799
1139091.49169922,34799
1139099.30419922,34800
1139107.11669922,34801
1139114.92919922,34801
1139122.74169922,34799
1139130.55419922,34799
1139138.36669922,34800
1139146.17919922,34800
1139153.99169922,34798
1139161.80419922,34799
1139169.61669922,34800
1139177.42919922,34800
1139185.24169922,34800
1139193.05419922,34798
1139200.86669922,34800
1139208.67919922,34799
1139216.49169922,34798
1139224.30419922,34799
1139232.11669922,34799
1139239.92919922,34798
1139247.74169922,34798
1139255.55419922,34798
1139263.36669922,34799
1139271.17919922,34797
1139278.99169922,34799
1139286.80419922,34798
1139294.61669922,34799
1139302.42919922,34797
1139310.24169922,34799
1139318.05419922,34797
1139325.86669922,34799
1139333.67919922,34797
1139341.49169922,34797
1139349.30419922,34797
1139357.11669922,34798
1139364.92919922,34794
1139372.74169922,34797
1139380.55419922,34799
1139388.36669922,34798
1139396.17919922,34796
1139403.99169922,34797
1139411.80419922,34797
1139419.61669922,34799
1139427.42919922,34797
1139435.24169922,34796
1139443.05419922,34798
1139450.86669922,34800
1139458.67919922,34797
1139466.49169922,34796
1139474.30419922,34797
1139482.11669922,34798
1139489.92919922,34796
1139497.74169922,34796
1139505.55419922,34797
1139513.36669922,34797
1139521.17919922,34796
1139528.99169922,34795
1139536.80419922,34797
1139544.61669922,34797
1139552.42919922,34797
1139560.24169922,34797
1139568.05419922,34796
1139575.86669922,34797
1139583.67919922,34797
1139591.49169922,34795
1139599.30419922,34796
1139607.11669922,34797
1139614.92919922,34796
1139622.74169922,34796
1139630.55419922,34796
1139638.36669922,34797
1139646.17919922,34796
1139653.99169922,34795
1139661.80419922,34795
1139669.61669922,34796
1139677.42919922,34800
1139685.24169922,34794
1139693.05419922,34795
1139700.86669922,34796
1139708.67919922,34795
1139716.49169922,34797
1139724.30419922,34796
1139732.11669922,34797
1139739.92919922,34795
1139747.74169922,34796
1139755.55419922,34796
1139763.36669922,34797
1139771.17919922,34795
1139778.99169922,34796
1139786.80419922,34793
1139794.61669922,34797
1139802.42919922,34795
1139810.24169922,34796
1139818.05419922,34795
1139825.86669922,34797
1139833.67919922,34795
1139841.49169922,34795
1139849.30419922,34795
1139857.11669922,34797
1139864.92919922,34796
1139872.74169922,34796
1139880.55419922,34797
1139888.36669922,34797
1139896.17919922,34795
1139903.99169922,34795
1139911.80419922,34797
1139919.61669922,34797
1139927.42919922,34796
1139935.24169922,34795
1139943.05419922,34797
1139950.86669922,34797
1139958.67919922,34796
1139966.49169922,34795
1139974.30419922,34795
1139982.11669922,34797
1139989.92919922,34804
1139997.74169922,34798
1140005.55419922,34796
1140013.36669922,34797
1140021.17919922,34798
1140028.99169922,34796
1140036.80419922,34799
1140044.61669922,34797
1140052.42919922,34798
1140060.24169922,34796
1140068.05419922,34797
1140075.86669922,34798
1140083.67919922,34799
1140091.49169922,34799
1140099.30419922,34797
1140107.11669922,34798
1140114.92919922,34798
1140122.74169922,34799
1140130.55419922,34798
1140138.36669922,34799
1140146.17919922,34801
1140153.99169922,34799
1140161.80419922,34799
1140169.61669922,34800
1140177.42919922,34801
1140185.24169922,34799
1140193.05419922,34801
1140200.86669922,34800
1140208.67919922,34800
1140216.49169922,34802
1140224.30419922,34802
1140232.11669922,34801
1140239.92919922,34802
1140247.74169922,34801
1140255.55419922,34802
1140263.36669922,34803
1140271.17919922,34802
1140278.99169922,34802
1140286.80419922,34802
1140294.61669922,34803
1140302.42919922,34803
1140310.24169922,34803
1140318.05419922,34803
1140325.86669922,34804
1140333.67919922,34804
1140341.49169922,34805
1140349.30419922,34803
1140357.11669922,34805
1140364.92919922,34804
1140372.74169922,34804
1140380.55419922,34805
1140388.36669922,34806
1140396.17919922,34805
1140403.99169922,34807
1140411.80419922,34805
1140419.61669922,34807
1140427.42919922,34806
1140435.24169922,34806
1140443.05419922,34807
1140450.86669922,34808
1140458.67919922,34807
1140466.49169922,34809
1140474.30419922,34810
1140482.11669922,34808
1140489.92919922,34808
1140497.74169922,34809
1140505.55419922,34809
1140513.36669922,34810
1140521.17919922,34809
1140528.99169922,34811
1140536.80419922,34810
1140544.61669922,34811
